detector number; partition number; start time; end time; no of events inside; exposure; p0;p1;p2 
1; 0; 1.36274e+09; 1.36552e+09; 0; 0.186025; 15.6834; 0.856429; 6.49031e-07
1; 1; 1.36561e+09; 1.37148e+09; 0; 0.38793; 15.4279; 0.831602; -2.18551e-07
1; 2; 1.37335e+09; 1.37338e+09; 0; 0.00196614; 14.52; 0.83844; 1.28102e-06
1; 3; 1.37356e+09; 1.37526e+09; 0; 0.107778; 12.4999; 0.867505; 7.02659e-07
1; 4; 1.37536e+09; 1.37605e+09; 0; 0.0469378; 10.2586; 0.910616; 1.6034e-07
1; 5; 1.37632e+09; 1.37752e+09; 0; 0.0685077; 10.2579; 0.929281; 2.25233e-06
1; 6; 1.37762e+09; 1.37784e+09; 0; 0.0147401; 12.6135; 0.852269; -0.004897
1; 7; 1.3784e+09; 1.38124e+09; 0; 0.135981; 13.1201; 0.827228; -0.00489922
1; 8; 1.38132e+09; 1.38297e+09; 0; 0.0859476; 12.6023; 0.862743; 3.62282e-08
1; 9; 1.38306e+09; 1.38383e+09; 0; 0.0467167; 13.1608; 0.856964; 5.21217e-06
1; 10; 1.38503e+09; 1.38547e+09; 0; 0.0282362; 17.3981; 0.753148; 0.00248327
1; 11; 1.38574e+09; 1.38586e+09; 0; 0.00786178; 15.3846; 0.777517; 0.00248044
1; 12; 1.38937e+09; 1.38977e+09; 0; 0.0270873; 15.7883; 0.828712; 3.09847e-07
1; 13; 1.39057e+09; 1.39403e+09; 0; 0.226831; 16.3048; 0.793602; 5.71682e-07
1; 14; 1.39412e+09; 1.39642e+09; 0; 0.133202; 15.8361; 0.790505; 1.49561e-06
1; 15; 1.39655e+09; 1.39832e+09; 0; 0.108641; 31.7413; 0.79027; 2.28272e-06
1; 16; 1.39851e+09; 1.40267e+09; 0; 0.276544; 48.0587; 0.773465; 2.05813e-06
1; 17; 1.40319e+09; 1.40984e+09; 0; 0.435921; 31.8642; 0.763227; 1.05604e-06
1; 18; 1.40993e+09; 1.41215e+09; 0; 0.144486; 15.2895; 0.777187; 1.20541e-06
1; 19; 1.41227e+09; 1.42329e+09; 0; 0.604823; 13.7993; 0.871219; 1.20257e-06
1; 20; 1.42489e+09; 1.43074e+09; 0; 0.295351; 16.4865; 0.749374; 2.55978e-08
1; 21; 1.43092e+09; 1.44604e+09; 0; 0.92611; 18.1603; 0.704278; 2.68435e-06
1; 22; 1.44639e+09; 1.4557e+09; 0; 0.588133; 19.4264; 0.662999; 5.70251e-06
1; 23; 1.45611e+09; 1.46583e+09; 0; 0.525638; 18.4717; 0.696335; 4.90288e-06
1; 24; 1.46643e+09; 1.47514e+09; 0; 0.424591; 19.4264; 0.662999; 5.70251e-06
1; 25; 1.54141e+09; 1.55775e+09; 0; 1.02104; 21.6982; 0.703994; 0.0095165
1; 26; 1.55881e+09; 1.57287e+09; 0; 0.745373; 18.2984; 0.613295; 0.0102285
2; 0; 1.36274e+09; 1.36552e+09; 0; 0.185663; 15.1733; 0.642972; 0.0054065
2; 1; 1.36561e+09; 1.37148e+09; 0; 0.387174; 15.9711; 0.669802; 0.00113328
2; 2; 1.37335e+09; 1.37338e+09; 0; 0.00196231; 17.1112; 0.58831; -2.61995e-07
2; 3; 1.37356e+09; 1.37526e+09; 0; 0.107568; 15.5553; 0.631066; -1.66437e-07
2; 4; 1.37536e+09; 1.37605e+09; 0; 0.0468463; 14.9208; 0.652235; 3.74672e-07
2; 5; 1.37632e+09; 1.37752e+09; 0; 0.0683742; 15.2884; 0.665222; 7.14451e-07
2; 6; 1.37762e+09; 1.37784e+09; 0; 0.0147114; 15.7816; 0.681738; 0.000418796
2; 7; 1.3784e+09; 1.38124e+09; 0; 0.135716; 15.2732; 0.709773; 0.000418746
2; 8; 1.38132e+09; 1.38297e+09; 0; 0.0857801; 15.1708; 0.698939; -1.01738e-07
2; 9; 1.38306e+09; 1.38383e+09; 0; 0.0466256; 15.7237; 0.667381; 0.00254627
2; 10; 1.38503e+09; 1.38547e+09; 0; 0.0281811; 18.9596; 0.587139; 0.00178079
2; 11; 1.38574e+09; 1.38586e+09; 0; 0.00784646; 17.577; 0.601118; 0.000963183
2; 12; 1.38937e+09; 1.38977e+09; 0; 0.0270345; 19.1909; 0.550865; 0.001204
2; 13; 1.39057e+09; 1.39403e+09; 0; 0.226389; 19.3314; 0.560333; 0.00161551
